보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
계수동 10-2,1,경기도 부천시 범안로 192,경기도 부천시 계수동 10-2,37.46515774,126.8102695,2007,,032-625-6566,경기도 부천시청,2020-10-22
계수동 1-13,1,경기도 부천시 은성로 212,경기도 부천시 계수동 1-13,37.46748964,126.8080933,2006,,032-625-6431,경기도 부천시청,2020-10-22
계수동 1-17,1,,경기도 부천시 계수동 1-17,,,2010,,032-625-6464,경기도 부천시청,2020-10-22
계수동 1-2 앞,1,,경기도 부천시 계수동 1-2 앞,,,2006,,032-625-6556,경기도 부천시청,2020-10-22
계수동 1-27,1,,경기도 부천시 계수동 1-27,,,2012,,032-625-6462,경기도 부천시청,2020-10-22
계수동 1-29,1,경기도 부천시 범안로 153-1,경기도 부천시 계수동 1-29,37.46822015,126.8096333,2013,,032-625-6402,경기도 부천시청,2020-10-22
계수동 1-41 (1-40),1,,경기도 부천시 계수동 1-41 (1-40),,,2006,,032-625-6542,경기도 부천시청,2020-10-22
계수동 15-10 (15-11 앞),1,,경기도 부천시 계수동 15-10 (15-11 앞),37.46425536,126.8116689,2007,,032-625-6517,경기도 부천시청,2020-10-22
계수동 15-2 (15-17 앞),1,,경기도 부천시 계수동 15-2 (15-17 앞),37.46449367,126.8119487,2005,,032-625-6615,경기도 부천시청,2020-10-22
계수동 15-20 (15-8),1,,경기도 부천시 계수동 15-20 (15-8),,,2007,,032-625-6496,경기도 부천시청,2020-10-22
계수동 15-7,1,경기도 부천시 범안로195번길 17,경기도 부천시 계수동 15-7,37.46460918,126.8120569,2009,,032-625-6419,경기도 부천시청,2020-10-22
계수동 15-7,1,경기도 부천시 범안로195번길 17,경기도 부천시 계수동 15-7,37.46460918,126.8120569,2009,,032-625-6466,경기도 부천시청,2020-10-22
계수동 1-6,1,,경기도 부천시 계수동 1-6,37.4661821,126.8085397,1986,,032-625-6512,경기도 부천시청,2020-10-22
계수동 1-6(정원연립),1,,경기도 부천시 계수동 1-6(정원연립),37.4661821,126.8085397,1987,,032-625-6510,경기도 부천시청,2020-10-22
계수동 1-6(정원주택A) 앞 전주,1,,경기도 부천시 계수동 1-6(정원주택A) 앞 전주,37.4661821,126.8085397,2004,,032-625-6604,경기도 부천시청,2020-10-22
계수동 2-1,1,,경기도 부천시 계수동 2-1,37.46701176,126.8089943,2012,,032-625-6403,경기도 부천시청,2020-10-22
계수동 23,1,,경기도 부천시 계수동 23,37.46475032,126.8101666,2007,,032-625-6416,경기도 부천시청,2020-10-22
계수동 24,1,,경기도 부천시 계수동 24,37.46486194,126.810103,2009,,032-625-6447,경기도 부천시청,2020-10-22
계수동 25-2,1,경기도 부천시 범안로194번길 27,경기도 부천시 계수동 25-2,37.46432418,126.8096341,2009,,032-625-6614,경기도 부천시청,2020-10-22
계수동 26-2,1,,경기도 부천시 계수동 26-2,,,2007,,032-625-6554,경기도 부천시청,2020-10-22
계수동 29-6,1,,경기도 부천시 계수동 29-6,,,2010,,032-625-6540,경기도 부천시청,2020-10-22
계수동 3 (범박동 4-57),1,,경기도 부천시 계수동 3 (범박동 4-57),37.46687951,126.8096729,1987,,032-625-6563,경기도 부천시청,2020-10-22
계수동 307-6,1,,경기도 부천시 계수동 307-6,,,2007,,032-625-6534,경기도 부천시청,2020-10-22
계수동 3-1,1,,경기도 부천시 계수동 3-1,37.4665842,126.8098093,2007,,032-625-6472,경기도 부천시청,2020-10-22
계수동 33,1,,경기도 부천시 계수동 33,,,2007,,032-625-6460,경기도 부천시청,2020-10-22
계수동 370-2,1,경기도 부천시 범안로186번나길 71,경기도 부천시 계수동 370-2,37.46370124,126.8077548,2006,,032-625-6524,경기도 부천시청,2020-10-22
계수동 371-13,1,,경기도 부천시 계수동 371-13,,,2011,,032-625-6538,경기도 부천시청,2020-10-22
계수동 371-2,1,경기도 부천시 서해안로 1847-2,경기도 부천시 계수동 371-2,37.46234397,126.8064335,2009,,032-625-6507,경기도 부천시청,2020-10-22
계수동 371-3,1,,경기도 부천시 계수동 371-3,,,2011,,032-625-6539,경기도 부천시청,2020-10-22
계수동 371-9,1,,경기도 부천시 계수동 371-9,,,2006,,032-625-6445,경기도 부천시청,2020-10-22
계수동 377,1,,경기도 부천시 계수동 377,,,2007,,032-625-6519,경기도 부천시청,2020-10-22
계수동 377-10,1,,경기도 부천시 계수동 377-10,,,2011,,032-625-6487,경기도 부천시청,2020-10-22
계수동 377-9,1,,경기도 부천시 계수동 377-9,,,,,032-625-6489,경기도 부천시청,2020-10-22
계수동 377-9,1,,경기도 부천시 계수동 377-9,,,2011,,032-625-6490,경기도 부천시청,2020-10-22
계수동 379,1,,경기도 부천시 계수동 379,,,2011,,032-625-6537,경기도 부천시청,2020-10-22
계수동 380-15 (370-2),1,,경기도 부천시 계수동 380-15 (370-2),,,2004,,032-625-6576,경기도 부천시청,2020-10-22
계수동 4-17 앞,1,,경기도 부천시 계수동 4-17 앞,,,2007,,032-625-6504,경기도 부천시청,2020-10-22
계수동 4-23,1,경기도 부천시 범안로178번길 17,경기도 부천시 계수동 4-23,37.46570068,126.8094814,1987,,032-625-6500,경기도 부천시청,2020-10-22
계수동 4-23,1,경기도 부천시 범안로178번길 17,경기도 부천시 계수동 4-23,37.46570068,126.8094814,1987,,032-625-6502,경기도 부천시청,2020-10-22
계수동 4-30 (건물옥상),1,,경기도 부천시 계수동 4-30 (건물옥상),37.46550353,126.8101511,2002,,032-625-6442,경기도 부천시청,2020-10-22
계수동 4-38,1,,경기도 부천시 계수동 4-38,37.4661844,126.809964,2007,,032-625-6509,경기도 부천시청,2020-10-22
계수동 4-40,1,경기도 부천시 범안로 180,경기도 부천시 계수동 4-40,37.46591056,126.8100054,2006,,032-625-6454,경기도 부천시청,2020-10-22
계수동 4-40 (B),1,,경기도 부천시 계수동 4-40 (B),37.46591056,126.8100054,2016,,032-625-6527,경기도 부천시청,2020-10-22
계수동 4-40(A),1,,경기도 부천시 계수동 4-40(A),37.46591056,126.8100054,2008,,032-625-6596,경기도 부천시청,2020-10-22
계수동 4-41,1,경기도 부천시 범안로 182-1,경기도 부천시 계수동 4-41,37.46575952,126.8102138,2008,,032-625-6548,경기도 부천시청,2020-10-22
계수동 4-42 (4-43 계성주유소 옆),1,,경기도 부천시 계수동 4-42 (4-43 계성주유소 옆),37.46702786,126.8100342,2007,,032-625-6448,경기도 부천시청,2020-10-22
계수동 4-42(4-45),1,,경기도 부천시 계수동 4-42(4-45),37.46702786,126.8100342,2004,,032-625-6587,경기도 부천시청,2020-10-22
계수동 4-43,1,,경기도 부천시 계수동 4-43,37.46684782,126.8101387,2008,,032-625-6602,경기도 부천시청,2020-10-22
계수동 4-43,1,,경기도 부천시 계수동 4-43,37.46684782,126.8101387,2007,,032-625-6558,경기도 부천시청,2020-10-22
계수동 4-43,1,,경기도 부천시 계수동 4-43,37.46684782,126.8101387,2004,,032-625-6575,경기도 부천시청,2020-10-22
계수동 4-43,1,,경기도 부천시 계수동 4-43,37.46684782,126.8101387,2016,,032-625-6399,경기도 부천시청,2020-10-22
계수동 4-43,1,,경기도 부천시 계수동 4-43,37.46684782,126.8101387,1987,,032-625-6562,경기도 부천시청,2020-10-22
계수동 4-43,1,,경기도 부천시 계수동 4-43,37.46684782,126.8101387,2009,,032-625-6479,경기도 부천시청,2020-10-22
계수동 4-48,1,,경기도 부천시 계수동 4-48,37.4654219,126.8109381,1987,,032-625-6439,경기도 부천시청,2020-10-22
계수동 4-48,1,,경기도 부천시 계수동 4-48,37.4654219,126.8109381,1987,,032-625-6529,경기도 부천시청,2020-10-22
계수동 4-51,1,경기도 부천시 범안로169번길 29-1,경기도 부천시 계수동 4-51,37.46619675,126.8109271,2007,,032-625-6505,경기도 부천시청,2020-10-22
계수동 4-62옆 (4-20),1,,경기도 부천시 계수동 4-62옆 (4-20),,,2008,,032-625-6582,경기도 부천시청,2020-10-22
계수동 4-70 옆(산2-5),1,,경기도 부천시 계수동 4-70 옆(산2-5),,,2008,,032-625-6591,경기도 부천시청,2020-10-22
계수동 4-8 (4-45 범박로),1,,경기도 부천시 계수동 4-8 (4-45 범박로),37.46720319,126.8092515,1987,,032-625-6469,경기도 부천시청,2020-10-22
계수동 48-1,1,,경기도 부천시 계수동 48-1,,,2008,,032-625-6564,경기도 부천시청,2020-10-22
계수동 5-2,1,,경기도 부천시 계수동 5-2,37.46546604,126.8092469,2000,,032-625-6594,경기도 부천시청,2020-10-22
계수동 5-2 앞,1,,경기도 부천시 계수동 5-2 앞,,,1987,,032-625-6610,경기도 부천시청,2020-10-22
계수동 6-5,1,,경기도 부천시 계수동 6-5,37.46594885,126.8091643,2007,,032-625-6426,경기도 부천시청,2020-10-22
계수동 7-2,1,,경기도 부천시 계수동 7-2,37.46516753,126.8096365,1987,,032-625-6606,경기도 부천시청,2020-10-22
계수동 761-10 (29-2 앞),1,경기도 부천시 범안로186번나길 58,경기도 부천시 계수동 761-10 (29-2 앞),37.46383568,126.8084236,1987,,032-625-6440,경기도 부천시청,2020-10-22
계수동 761-18,1,,경기도 부천시 계수동 761-18,,,2011,,032-625-6404,경기도 부천시청,2020-10-22
계수동 8 (8-10),1,,경기도 부천시 계수동 8 (8-10),37.46454725,126.8093985,2006,,032-625-6465,경기도 부천시청,2020-10-22
계수동 8-10,1,,경기도 부천시 계수동 8-10,37.46516753,126.8096365,2008,,032-625-6455,경기도 부천시청,2020-10-22
계수동 8-10,1,,경기도 부천시 계수동 8-10,37.46516753,126.8096365,2016,,032-625-6394,경기도 부천시청,2020-10-22
계수동 8-10,1,,경기도 부천시 계수동 8-10,37.46516753,126.8096365,1987,,032-625-6584,경기도 부천시청,2020-10-22
계수동 8-10,1,,경기도 부천시 계수동 8-10,37.46516753,126.8096365,2006,,032-625-6601,경기도 부천시청,2020-10-22
계수동 8-10 (현대슈퍼 앞),1,,경기도 부천시 계수동 8-10 (현대슈퍼 앞),37.46516753,126.8096365,2006,,032-625-6503,경기도 부천시청,2020-10-22
계수동 8-12,1,경기도 부천시 범안로186번길 50,경기도 부천시 계수동 8-12,37.46541352,126.807972,2012,,032-625-6536,경기도 부천시청,2020-10-22
계수동 8-12 (8-10 옆),1,,경기도 부천시 계수동 8-12 (8-10 옆),37.46541352,126.807972,2006,,032-625-6549,경기도 부천시청,2020-10-22
계수동 8-28,1,경기도 부천시 범안로186번나길 68-10,경기도 부천시 계수동 8-28,37.46426751,126.8080201,2009,,032-625-6478,경기도 부천시청,2020-10-22
계수동 8-3,1,,경기도 부천시 계수동 8-3,37.46611364,126.8085535,2002,,032-625-6578,경기도 부천시청,2020-10-22
계수동 8-3,1,,경기도 부천시 계수동 8-3,37.46611364,126.8085535,2006,,032-625-6474,경기도 부천시청,2020-10-22
계수동 8-3,1,,경기도 부천시 계수동 8-3,37.46611364,126.8085535,2008,,032-625-6427,경기도 부천시청,2020-10-22
계수동 8-3(건물옥상),1,,경기도 부천시 계수동 8-3(건물옥상),37.46611364,126.8085535,2004,,032-625-6595,경기도 부천시청,2020-10-22
계수동 8-32,1,,경기도 부천시 계수동 8-32,,,2006,,032-625-6409,경기도 부천시청,2020-10-22
계수동 8-36,1,,경기도 부천시 계수동 8-36,,,2010,,032-625-6514,경기도 부천시청,2020-10-22
계수동 8-5,1,,경기도 부천시 계수동 8-5,37.46475989,126.8093979,2012,,032-625-6463,경기도 부천시청,2020-10-22
계수동 8-5,1,,경기도 부천시 계수동 8-5,37.46475989,126.8093979,2006,,032-625-6501,경기도 부천시청,2020-10-22
계수동 8-6,1,,경기도 부천시 계수동 8-6,37.46472971,126.808566,2009,,032-625-6461,경기도 부천시청,2020-10-22
계수동 8-9,1,,경기도 부천시 계수동 8-9,37.46454725,126.8093985,2006,,032-625-6553,경기도 부천시청,2020-10-22
계수동 8-9,1,,경기도 부천시 계수동 8-9,37.46454725,126.8093985,2008,,032-625-6449,경기도 부천시청,2020-10-22
계수동 8-9(8-5앞),1,,경기도 부천시 계수동 8-9(8-5앞),37.46454725,126.8093985,2006,,032-625-6557,경기도 부천시청,2020-10-22
계수동 9-1,1,경기도 부천시 범안로214번길 81,경기도 부천시 계수동 9-1,37.46526183,126.8100025,2007,,032-625-6573,경기도 부천시청,2020-10-22
계수동 9-1 앞 (10-2 건물),1,,경기도 부천시 계수동 9-1 앞 (10-2 건물),,,2009,,032-625-6483,경기도 부천시청,2020-10-22
계수동 산105-1 (29-1 옆),1,,경기도 부천시 계수동 산105-1 (29-1 옆),,,2008,,032-625-6452,경기도 부천시청,2020-10-22
계수동 산2-5,1,,경기도 부천시 계수동 산2-5,,,2006,,032-625-6597,경기도 부천시청,2020-10-22
계수동 산2-5 (범박동 113-67),1,,경기도 부천시 계수동 산2-5 (범박동 113-67),,,2007,,032-625-6407,경기도 부천시청,2020-10-22
계수동 산3-9 (산3-21),1,,경기도 부천시 계수동 산3-9 (산3-21),,,2009,,032-625-6508,경기도 부천시청,2020-10-22
오정동517,1,,경기도 부천시 고강1동 100-7,,,,한전주,032-625-7236,경기도 부천시청,2020-10-22
오정동518,1,,경기도 부천시 고강1동 100-9,,,,한전주,032-625-7236,경기도 부천시청,2020-10-22
오정대로 고강지하차도 위 남부환로 보안등,5,,경기도 부천시 고강동 12-1,,,,전용주,032-625-3573,경기도 부천시청,2020-10-22
봉오대로 교통섬,5,,경기도 부천시 고강동 2-10,,,,전용주,032-625-3573,경기도 부천시청,2020-10-22
쌈지공원 LPG 주유소 옆 족구장,6,,경기도 부천시 고강동 218-7,,,,전용주,032-625-3573,경기도 부천시청,2020-10-22
쌈지공원 고강동 상록체육공원,4,,경기도 부천시 고강동 302-1,,,,전용주,032-625-3573,경기도 부천시청,2020-10-22
쌈지공원 해주빌라,3,,경기도 부천시 고강동 산98,,,,전용주,032-625-3573,경기도 부천시청,2020-10-22
오정동515,1,,경기도 부천시 고강동102-1,,,,한전주,032-625-7236,경기도 부천시청,2020-10-22
오정동519,1,,경기도 부천시 고강동98-1,,,,한전주,032-625-7236,경기도 부천시청,2020-10-22
쌈지공원 삼우APT  앞 보안등,2,,경기도 부천시 고강본동 396-4,,,,전용주,032-625-3573,경기도 부천시청,2020-10-22
쌈지공원 보라빌라 옆,2,,경기도 부천시 고강본동 410-2,,,,전용주,032-625-3573,경기도 부천시청,2020-10-22
쌈지공원 대흥타운 옆 보안등,3,,경기도 부천시 고강본동 417-9,,,,전용주,032-625-3573,경기도 부천시청,2020-10-22
쌈지공원 고리울가로공원 보안등,30,,경기도 부천시 고강본동 산63-17,,,,전용주,032-625-3573,경기도 부천시청,2020-10-22
산림공원 은행2단지 보안등,4,,경기도 부천시 고강본동 산80-1,,,,전용주,032-625-3573,경기도 부천시청,2020-10-22
"고리울구름다리, 보안등",12,,경기도 부천시 고강본동 산93-2,,,,전용주,032-625-3573,경기도 부천시청,2020-10-22
쌈지공원 고강선사 유원빌라 뒤,2,,경기도 부천시 고강본동 산96-5,,,,전용주,032-625-3573,경기도 부천시청,2020-10-22
괴안동 100-28(역곡3동-205),1,경기도 부천시 안곡로79번길 36,경기도 부천시 괴안동 100-28(역곡3동-205),37.47998253,126.8111365,2012,,032-625-7113,경기도 부천시청,2020-10-22
괴안동 100-58,1,경기도 부천시 안곡로79번길 34,경기도 부천시 괴안동 100-58,37.47985644,126.8111685,2012,,032-625-7114,경기도 부천시청,2020-10-22
괴안동 100-64,1,경기도 부천시 안곡로79번길 22-10,경기도 부천시 괴안동 100-64,37.47917964,126.8116451,2012,,032-625-6876,경기도 부천시청,2020-10-22
괴안동 102 (102-18 옆),1,,경기도 부천시 괴안동 102 (102-18 옆),37.47920936,126.8122058,1986,,032-625-7263,경기도 부천시청,2020-10-22
괴안동 102-17,1,경기도 부천시 경인로484번길 105-1,경기도 부천시 괴안동 102-17,,,2012,,032-625-7125,경기도 부천시청,2020-10-22
괴안동 102-24,1,경기도 부천시 안곡로 105,경기도 부천시 괴안동 102-24,37.47964391,126.8135071,2013,,032-625-7055,경기도 부천시청,2020-10-22
괴안동 103번지,1,경기도 부천시 경인로484번길 75,경기도 부천시 괴안동 103번지,37.48009557,126.8119639,2012,,032-625-7118,경기도 부천시청,2020-10-22
괴안동 103번지(역곡3동-210),1,경기도 부천시 경인로484번길 75,경기도 부천시 괴안동 103번지(역곡3동-210),37.48009557,126.8119639,2012,,032-625-7056,경기도 부천시청,2020-10-22
괴안동 106-1,1,경기도 부천시 부광로22번길 45,경기도 부천시 괴안동 106-1,37.48052728,126.8114789,2011,,032-625-7060,경기도 부천시청,2020-10-22
괴안동 106-1,1,경기도 부천시 부광로22번길 45,경기도 부천시 괴안동 106-1,37.48052728,126.8114789,1986,,032-625-7171,경기도 부천시청,2020-10-22
괴안동 107-8,1,경기도 부천시 부광로16번길 33,경기도 부천시 괴안동 107-8,37.48253122,126.8115372,2016,,032-625-6853,경기도 부천시청,2020-10-22
괴안동 108-1 괴안동사무소 앞,1,경기도 부천시 부광로8번길 53,경기도 부천시 괴안동 108-1 괴안동사무소 앞,37.48258316,126.8102164,2002,,032-625-7012,경기도 부천시청,2020-10-22
괴안동 110-10,1,경기도 부천시 경인로484번길 8,경기도 부천시 괴안동 110-10,37.48295648,126.8092839,1986,,032-625-6740,경기도 부천시청,2020-10-22
괴안동 110-14 (앞),1,경기도 부천시 범안로7번길 71,경기도 부천시 괴안동 110-14 (앞),37.48245133,126.8089233,1986,,032-625-6643,경기도 부천시청,2020-10-22
괴안동 110-16 앞,1,경기도 부천시 범안로7번길 63,경기도 부천시 괴안동 110-16 앞,37.48229216,126.8085574,1986,,032-625-6808,경기도 부천시청,2020-10-22
괴안동 110-17 (역곡성당 맞은펴),1,경기도 부천시 범안로7번길 53,경기도 부천시 괴안동 110-17 (역곡성당 맞은펴),37.48214747,126.8082276,2016,,032-625-6622,경기도 부천시청,2020-10-22
괴안동 110-21,1,경기도 부천시 범안로7번길 41,경기도 부천시 괴안동 110-21,37.48196635,126.8076628,1986,,032-625-6633,경기도 부천시청,2020-10-22
괴안동 110-25 앞,1,경기도 부천시 범안로7번길 77,경기도 부천시 괴안동 110-25 앞,37.48253123,126.8092985,1986,,032-625-6748,경기도 부천시청,2020-10-22
괴안동 110-31,1,,경기도 부천시 괴안동 110-31,,,1986,,032-625-6758,경기도 부천시청,2020-10-22
괴안동 111-10,1,경기도 부천시 경인로463번가길 11,경기도 부천시 괴안동 111-10,37.48322002,126.8073385,1986,,032-625-6760,경기도 부천시청,2020-10-22
괴안동 111-10,1,경기도 부천시 경인로463번가길 11,경기도 부천시 괴안동 111-10,37.48322002,126.8073385,2015,,032-625-6627,경기도 부천시청,2020-10-22
괴안동 111-14,1,경기도 부천시 경인로425번길 94-4,경기도 부천시 괴안동 111-14,37.48360273,126.8077581,2006,,032-625-6680,경기도 부천시청,2020-10-22
괴안동 111-19,1,경기도 부천시 경인로463번가길 17,경기도 부천시 괴안동 111-19,37.48334318,126.8077181,1986,,032-625-6839,경기도 부천시청,2020-10-22
괴안동 111-28,1,경기도 부천시 경인로425번길 102,경기도 부천시 괴안동 111-28,37.48374053,126.8082778,1986,,032-625-6675,경기도 부천시청,2020-10-22
괴안동 111-31,1,경기도 부천시 경인로463번가길 33,경기도 부천시 괴안동 111-31,37.48360392,126.8084908,1986,,032-625-6700,경기도 부천시청,2020-10-22
괴안동 111-36,1,경기도 부천시 경인로425번길 110,경기도 부천시 괴안동 111-36,37.48390701,126.8087071,1986,,032-625-6821,경기도 부천시청,2020-10-22
괴안동 111-37,1,경기도 부천시 경인로483번길 13,경기도 부천시 괴안동 111-37,37.48376301,126.8088069,1986,,032-625-6822,경기도 부천시청,2020-10-22
괴안동 111-48,1,경기도 부천시 경인로463번가길 24,경기도 부천시 괴안동 111-48,37.4832897,126.8080755,2005,,032-625-6701,경기도 부천시청,2020-10-22
괴안동 111-51,1,경기도 부천시 경인로463번가길 16,경기도 부천시 괴안동 111-51,37.48311251,126.8077141,2008,,032-625-6648,경기도 부천시청,2020-10-22
괴안동 113-13,1,,경기도 부천시 괴안동 113-13,,,2015,,032-625-6865,경기도 부천시청,2020-10-22
괴안동 113-14,1,,경기도 부천시 괴안동 113-14,,,2015,,032-625-6866,경기도 부천시청,2020-10-22
괴안동 115-13,1,경기도 부천시 부광로16번길 30,경기도 부천시 괴안동 115-13,37.48291708,126.8116809,2012,,032-625-7123,경기도 부천시청,2020-10-22
괴안동 116-19,1,경기도 부천시 부광로 20-16,경기도 부천시 괴안동 116-19,37.48273449,126.8124502,2016,,032-625-6854,경기도 부천시청,2020-10-22
괴안동 117,1,경기도 부천시 부광로30번길 20,경기도 부천시 괴안동 117,37.48194532,126.8125155,2012,,032-625-6878,경기도 부천시청,2020-10-22
괴안동 117,1,경기도 부천시 부광로30번길 20,경기도 부천시 괴안동 117,37.48194532,126.8125155,2013,,032-625-7059,경기도 부천시청,2020-10-22
괴안동 117-1,1,경기도 부천시 부광로22번길 19,경기도 부천시 괴안동 117-1,37.48225908,126.8126504,2012,,032-625-7120,경기도 부천시청,2020-10-22
괴안동 118,1,경기도 부천시 경인로498번길 61,경기도 부천시 괴안동 118,37.4815491,126.8126612,2015,,032-625-6861,경기도 부천시청,2020-10-22
괴안동 118-11,1,경기도 부천시 부광로32번길 15,경기도 부천시 괴안동 118-11,37.48160433,126.8133982,2014,,032-625-6918,경기도 부천시청,2020-10-22
괴안동 118-11,1,경기도 부천시 부광로32번길 15,경기도 부천시 괴안동 118-11,37.48160433,126.8133982,2013,,032-625-6972,경기도 부천시청,2020-10-22
괴안동 118-16,1,경기도 부천시 부광로36번길 26,경기도 부천시 괴안동 118-16,37.48125418,126.8130463,1986,,032-625-7014,경기도 부천시청,2020-10-22
괴안동 118-18,1,경기도 부천시 경인로498번길 71,경기도 부천시 괴안동 118-18,37.48104835,126.8127891,2015,,032-625-7104,경기도 부천시청,2020-10-22
괴안동 118-24,1,,경기도 부천시 괴안동 118-24,,,2011,,032-625-6970,경기도 부천시청,2020-10-22
괴안동 121-1,1,경기도 부천시 부광로41번길 8,경기도 부천시 괴안동 121-1,37.48135456,126.8149953,2016,,032-625-6852,경기도 부천시청,2020-10-22
괴안동 122-1,1,경기도 부천시 부광로35번길 14,경기도 부천시 괴안동 122-1,37.48189496,126.8148673,2014,,032-625-7103,경기도 부천시청,2020-10-22
괴안동 123-3 (124-4 옆),1,경기도 부천시 부광로29번길 12,경기도 부천시 괴안동 123-3 (124-4 옆),37.48233412,126.814527,1986,,032-625-6931,경기도 부천시청,2020-10-22
괴안동 12-5,1,,경기도 부천시 괴안동 12-5,,,2014,,032-625-7108,경기도 부천시청,2020-10-22
괴안동 12-5,1,,경기도 부천시 괴안동 12-5,,,2014,,032-625-6967,경기도 부천시청,2020-10-22
괴안동 12-5,1,,경기도 부천시 괴안동 12-5,,,2014,,032-625-6968,경기도 부천시청,2020-10-22
괴안동 12-6,1,,경기도 부천시 괴안동 12-6,,,2014,,032-625-7106,경기도 부천시청,2020-10-22
괴안동 12-6,1,,경기도 부천시 괴안동 12-6,,,2014,,032-625-7107,경기도 부천시청,2020-10-22
괴안동 12-6,1,,경기도 부천시 괴안동 12-6,,,2014,,032-625-6871,경기도 부천시청,2020-10-22
괴안동 12-6,1,,경기도 부천시 괴안동 12-6,,,2014,,032-625-6872,경기도 부천시청,2020-10-22
괴안동 12-6,1,,경기도 부천시 괴안동 12-6,,,2014,,032-625-7050,경기도 부천시청,2020-10-22
괴안동 12-6,1,,경기도 부천시 괴안동 12-6,,,2014,,032-625-6870,경기도 부천시청,2020-10-22
괴안동 126-2,1,경기도 부천시 부광로15번길 9,경기도 부천시 괴안동 126-2,37.48383227,126.8138088,2009,,032-625-7083,경기도 부천시청,2020-10-22
괴안동 128-1(역곡프라자 앞),1,경기도 부천시 경인로 519,경기도 부천시 괴안동 128-1(역곡프라자 앞),37.48508481,126.8127564,2015,,032-625-6867,경기도 부천시청,2020-10-22
괴안동 129-1 (130-100 앞),1,경기도 부천시 경인로 532,경기도 부천시 괴안동 129-1 (130-100 앞),37.48487459,126.8142901,1986,,032-625-7244,경기도 부천시청,2020-10-22
괴안동 130-45,1,경기도 부천시 부광로29번길 43-13,경기도 부천시 괴안동 130-45,37.48378789,126.8153873,1986,,032-625-7184,경기도 부천시청,2020-10-22
괴안동 130-68,1,경기도 부천시 안곡로149번길 39,경기도 부천시 괴안동 130-68,37.48344271,126.8158992,2015,,032-625-6859,경기도 부천시청,2020-10-22
괴안동 131-4,1,경기도 부천시 안곡로86번길 21,경기도 부천시 괴안동 131-4,37.47768303,126.8110609,2005,,032-625-6752,경기도 부천시청,2020-10-22
괴안동 132-3,1,경기도 부천시 안곡로86번길 17,경기도 부천시 괴안동 132-3,37.47783126,126.8113494,2008,,032-625-6773,경기도 부천시청,2020-10-22
괴안동 132-6,1,경기도 부천시 안곡로86번길 13,경기도 부천시 괴안동 132-6,37.47792886,126.8115306,2006,,032-625-6790,경기도 부천시청,2020-10-22
